disability_number	disability_name
1	全盲
2	弱視　・　視野障害
3	盲ろう
4	ろうあ
5	難聴
6	平衡機能障害
7	脳性まひ
8	頸髄損傷
9	脊髄損傷
10	筋ジストロフィー
11	脳卒中後遺症
12	切断、その他の肢体不自由
13	ペースメーカー適用
14	人工弁適用
15	心臓機能障害1級
16	心臓機能障害３、４級
17	血液透析適用
18	腹膜透析適用
19	腎臓機能障害３、４級
20	酸素療法適用
21	呼吸器機能障害３、４級
22	二分脊椎
23	人工肛門
24	尿路変更、自己導尿
25	小腸機能障害１級
26	小腸機能障害３、４級
27	抗HIV服薬継続中
28	抗HIV服薬治療開始前
29	知的障害
30	統合失調症
31	気分障害（うつ、そううつ等）
32	てんかん
33	不安障害・パニック障害
34	発達障害全体
35	広汎性発達障害
36	学習障害
37	注意欠陥多動性障害
38	トゥレット症候群
39	広汎性発達障害(調査回答)
40	自閉症
41	アスペルガー障害
42	学習障害(調査回答)
43	読字障害
44	高次脳機能障害
45	ダウン症
46	C型肝炎
47	B型肝炎
48	レックリングハウゼン病
49	神経線維腫症2型
50	原発性免疫不全症候群
51	フェニルケトン尿症
52	血友病
