file_name	entry_count	item_title
01.txt	33	生活に十分な収入
02.txt	9	乗り物を操作して動かすこと（自動車、フォークリフトなど）
03.txt	34	全般的に満足できる生活
04.txt	27	フルタイム労働
05.txt	30	自分の希望について周囲を説得して意思を通す自信
06.txt	27	本人が能力を発揮できる仕事について調べること
07.txt	22	収入のある就労
08.txt	31	企業に障害や病気を誤解されずうまく説明すること
09.txt	27	企業に対して自分をうまくアピールすること
10.txt	23	希望の会社についての情報を集めること
11.txt	22	週20時間以上の労働
12.txt	30	障害と共存しての人生・生活の展望をもつこと
13.txt	28	企業に対して職場で必要な配慮等を伝えること
14.txt	29	世の中のいろんな支援制度やサービスを有効に活用できる自信
15.txt	22	雇用就労
16.txt	25	希望の仕事に就くための能力を身につけること
17.txt	18	一般就労
18.txt	30	地域で安心して生活できること
19.txt	24	実際の職場の見学や職場実習・体験をすること
20.txt	28	昇進をすること
21.txt	30	精神的ストレスに適切に対処すること
22.txt	11	書類、本、説明書等を読むこと
23.txt	25	障害や病気があっても、やりたいことは実行する自信
24.txt	21	自分の障害や病気の適切な管理ができる自信
25.txt	28	仕事上の身分、仕事内容が安定して継続すること
26.txt	12	就労したいという思いを周りの人に伝えること
27.txt	27	企業に就職について連絡・申し込みすること
28.txt	16	就職面接を受けること
29.txt	17	能力やスキルに見合って適正な処遇（賃金、職位等）
30.txt	19	仕事内容によっては、企業ニーズに応える自信
31.txt	22	希望と合い満足できる職業生活
32.txt	26	適当な報酬を得ること
33.txt	11	独立起業や自営の始め方の情報を集めること
34.txt	16	同僚、上司、お客さんなどの話や文書の内容を理解すること
35.txt	19	同僚、上司、お客さんなどに対して自分の意思を伝えること
36.txt	19	職場内で、会話や議論をすること
37.txt	18	上司や同僚など職場内での円滑な人間関係を維持すること
38.txt	17	仕事上で人と応対すること
39.txt	9	コミュニケーション機器（電話、FAX、電子メール等）を使うこと
40.txt	13	仕事に必要な技能を習得すること
41.txt	11	仕事をとおして、社会に役立つ自信
42.txt	1	職場や地域の整備を前提として、職業人として十分やっていく自信
43.txt	6	何らかの就労
44.txt	12	文章を書くこと
45.txt	15	問題解決や判断を行うこと
46.txt	10	運搬すること
47.txt	15	危険のある事態や状況に適切に対処すること
48.txt	13	履歴書や応募書類を作成すること
49.txt	7	立った姿勢で仕事をすること
50.txt	8	歩くこと（短距離、長距離、不安定な場所で、など）
51.txt	3	手と手指を使って物をつまんだり､操作したり､放したりすること
52.txt	3	交通機関を利用すること（バス、電車、飛行機、タクシーなど）
53.txt	14	仕事中に適度に休憩して能率を下げないようにすること
54.txt	8	必要な配慮や支援等についての職場への説明
55.txt	4	様々な場所をあちこち移動すること（車椅子を含む）
56.txt	15	仕事で要求されている責任に十分に応えること
57.txt	1	手と腕で物を動かしたり操作したりすること
58.txt	7	フルタイム(約8時間)の労働を行うこと
59.txt	12	仕事中に注意を集中すること
60.txt	3	遅刻、早退、欠勤をしないで出勤すること
61.txt	4	職務として決められた課題を達成すること
62.txt	4	病気や障害についての職場への説明
63.txt	5	数を数えたり、計算すること
